lokasi,nama_komoditas,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-06,2019-04-07,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-13,2019-04-14,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-20,2019-04-21,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-27,2019-04-28,2019-04-29,2019-04-30
"Pasar Andir","Beras Medium",0,11000,0,11000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,11000,0,0,0,11000,0
"Pasar Andir","Cabe Merah",0,30000,0,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,35000,0,0,0,35000,0
"Pasar Andir","Bawang Merah",0,37000,0,37000,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,0,0,38000,0,0,0,38000,0
"Pasar Andir","Daging Ayam Ras",0,31000,0,31000,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,34000,0,0,0,34000,0
"Pasar Andir","Telur Ayam Ras",0,23000,0,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,24000,0,0,0,24000,0
"Pasar Andir","Daging Sapi",0,115000,0,115000,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,0,0,115000,0,0,0,115000,0
"Pasar Andir","Minyak Goreng",0,14500,0,14500,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500,0,0,14500,0,0,0,14500,0
"Pasar Andir","Gula Pasir",0,12500,0,12500,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,12500,0,0,0,12500,0
"Pasar Andir",Kentang,0,12000,0,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,12000,0,0,0,12000,0
"Pasar Andir",Kedelai,0,11000,0,11000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,11000,0,0,0,11000,0
"Pasar Andir","Tepung Terigu",0,7500,0,7500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,7500,0,0,0,7500,0
"Pasar Andir","Bawang Putih",0,25000,0,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,40000,0,0,0,40000,0
"Pasar Andir","Cabe Keriting",0,20000,0,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,28000,0,0,0,28000,0
"Pasar Andir","Cabe Rawit",0,25000,0,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,28000,0,0,0,28000,0
"Pasar Andir","Kacang Tanah",0,27000,0,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,27000,0,0,0,27000,0
"Pasar Andir","Ubi Kayu",0,3000,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000,0,0,0,3000,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,0,10000,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,10000,0,0,0,10000,0
"Pasar Andir","Ikan Olahan",0,70000,0,70000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,70000,0,0,0,70000,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",0,11500,0,11500,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11500,0,0,11500,0,0,0,11500,0
"Pasar Andir","Daging Ayam Kampung",0,75000,0,75000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,0,75000,0,0,0,75000,0
"Pasar Andir","Telur Ayam Kampung",0,45000,0,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,45000,0,0,0,45000,0
"Pasar Andir","Susu Kental Manis Merk Bendera",0,9500,0,9500,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,0,0,9500,0,0,0,9500,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",0,9500,0,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,9000,0,0,0,9000,0
"Pasar Andir","Garam Beryodium Bata",0,2000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,2000,0,0,0,2000,0
"Pasar Andir","Garam Beryodium Halus",0,8000,0,8000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,8000,0,0,0,8000,0
"Pasar Andir","Tepung Terigu Cakra Kembar",0,7500,0,7500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,7500,0,0,0,7500,0
"Pasar Andir","Tepung Terigu Kunci",0,7000,0,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,7000,0,0,0,7000,0
"Pasar Andir","Mie Instan",0,2000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,2000,0,0,0,2000,0
"Pasar Andir","Cabe Rawit Hijau",0,20000,0,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,23000,0,0,0,23000,0
"Pasar Andir","Kacang Hijau",0,20000,0,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,20000,0,0,0,20000,0
"Pasar Andir","Susu Bubuk Dancow",0,35000,0,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,35000,0,0,0,35000,0
"Pasar Andir","Susu Bubuk Indomilk",0,32000,0,32000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,0,32000,0,0,0,32000,0
"Pasar Andir","Ikan Kembung",0,35000,0,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,35000,0,0,0,35000,0
