lokasi,nama_komoditas,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
"Pasar Andir","Beras Medium",0,0,0,11000,11000,11000,0,11000,0,0,11000,11000,11000,11000,11000,0,0,0,0,0,0,0,0,0,11000,0,11000,0,0,0,0
"Pasar Andir","Cabe Merah",0,0,0,40000,40000,40000,0,40000,0,0,40000,40000,40000,40000,40000,0,0,0,0,0,0,0,0,0,30000,0,30000,0,0,0,0
"Pasar Andir","Bawang Merah",0,0,0,28000,28000,28000,0,28000,0,0,30000,30000,30000,30000,30000,0,0,0,0,0,0,0,0,0,35000,0,35000,0,0,0,0
"Pasar Andir","Daging Ayam Ras",0,0,0,33000,33000,33000,0,33000,0,0,33000,33000,33000,33000,33000,0,0,0,0,0,0,0,0,0,31000,0,31000,0,0,0,0
"Pasar Andir","Telur Ayam Ras",0,0,0,23000,23000,23000,0,23000,0,0,23000,23000,23000,23000,23000,0,0,0,0,0,0,0,0,0,23000,0,23000,0,0,0,0
"Pasar Andir","Daging Sapi",0,0,0,115000,115000,115000,0,115000,0,0,115000,115000,115000,115000,115000,0,0,0,0,0,0,0,0,0,115000,0,115000,0,0,0,0
"Pasar Andir","Minyak Goreng",0,0,0,14500,14500,14500,0,14500,0,0,14500,14500,14500,14500,14500,0,0,0,0,0,0,0,0,0,14500,0,14500,0,0,0,0
"Pasar Andir","Gula Pasir",0,0,0,12500,12500,12500,0,12500,0,0,12500,12500,12500,12500,12500,0,0,0,0,0,0,0,0,0,11000,0,12500,0,0,0,0
"Pasar Andir",Kentang,0,0,0,12000,12000,12000,0,12000,0,0,12000,12000,12000,12000,12000,0,0,0,0,0,0,0,0,0,12000,0,12000,0,0,0,0
"Pasar Andir",Kedelai,0,0,0,11000,11000,11000,0,11000,0,0,11000,11000,11000,11000,11000,0,0,0,0,0,0,0,0,0,11000,0,11000,0,0,0,0
"Pasar Andir","Tepung Terigu",0,0,0,7500,7500,7500,0,7500,0,0,7500,7500,7500,7500,7500,0,0,0,0,0,0,0,0,0,7500,0,7500,0,0,0,0
"Pasar Andir","Bawang Putih",0,0,0,22000,22000,22000,0,22000,0,0,25000,25000,25000,25000,25000,0,0,0,0,0,0,0,0,0,25000,0,25000,0,0,0,0
"Pasar Andir","Cabe Keriting",0,0,0,20000,20000,20000,0,20000,0,0,20000,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,20000,0,20000,0,0,0,0
"Pasar Andir","Cabe Rawit",0,0,0,28000,28000,28000,0,28000,0,0,20000,30000,30000,30000,30000,0,0,0,0,0,0,0,0,0,25000,0,25000,0,0,0,0
"Pasar Andir","Kacang Tanah",0,0,0,27000,27000,27000,0,27000,0,0,27000,27000,27000,27000,27000,0,0,0,0,0,0,0,0,0,27000,0,27000,0,0,0,0
"Pasar Andir","Ubi Kayu",0,0,0,3000,3000,12000,0,3000,0,0,3000,3000,12000,3000,3000,0,0,0,0,0,0,0,0,0,3000,0,3000,0,0,0,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,0,0,0,10000,10000,10000,0,10000,0,0,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0,0
"Pasar Andir","Ikan Olahan",0,0,0,70000,70000,70000,0,70000,0,0,70000,70000,70000,70000,70000,0,0,0,0,0,0,0,0,0,70000,0,70000,0,0,0,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",0,0,0,11500,11500,11500,0,14500,0,0,115000,14500,11500,11500,11500,0,0,0,0,0,0,0,0,0,11500,0,11500,0,0,0,0
"Pasar Andir","Daging Ayam Kampung",0,0,0,75000,75000,75000,0,75000,0,0,75000,75000,75000,75000,75000,0,0,0,0,0,0,0,0,0,75000,0,75000,0,0,0,0
"Pasar Andir","Telur Ayam Kampung",0,0,0,45000,45000,45000,0,45000,0,0,45000,45000,45000,45000,45000,0,0,0,0,0,0,0,0,0,45000,0,45000,0,0,0,0
"Pasar Andir","Susu Kental Manis Merk Bendera",0,0,0,9500,9500,9500,0,9500,0,0,9500,9500,9500,9500,9500,0,0,0,0,0,0,0,0,0,9500,0,9500,0,0,0,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",0,0,0,9000,9000,9000,0,9000,0,0,9000,9000,9000,9000,9000,0,0,0,0,0,0,0,0,0,9000,0,9000,0,0,0,0
"Pasar Andir","Garam Beryodium Bata",0,0,0,2000,2000,2000,0,2000,0,0,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0,0,0
"Pasar Andir","Garam Beryodium Halus",0,0,0,8000,8000,8000,0,8000,0,0,8000,8000,8000,8000,8000,0,0,0,0,0,0,0,0,0,8000,0,8000,0,0,0,0
"Pasar Andir","Tepung Terigu Cakra Kembar",0,0,0,7500,7500,7500,0,7500,0,0,7500,7500,7500,7500,7500,0,0,0,0,0,0,0,0,0,7500,0,7500,0,0,0,0
"Pasar Andir","Tepung Terigu Kunci",0,0,0,7000,7000,7000,0,7000,0,0,7000,7000,7000,7000,7000,0,0,0,0,0,0,0,0,0,7000,0,7000,0,0,0,0
"Pasar Andir","Mie Instan",0,0,0,2000,2000,2000,0,2000,0,0,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0,0,0
"Pasar Andir","Cabe Rawit Hijau",0,0,0,18000,18000,18000,0,18000,0,0,20000,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,20000,0,20000,0,0,0,0
"Pasar Andir","Kacang Hijau",0,0,0,20000,20000,20000,0,20000,0,0,20000,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,20000,0,20000,0,0,0,0
"Pasar Andir","Susu Bubuk Dancow",0,0,0,35000,35000,35000,0,35000,0,0,35000,35000,35000,35000,35000,0,0,0,0,0,0,0,0,0,35000,0,35000,0,0,0,0
"Pasar Andir","Susu Bubuk Indomilk",0,0,0,32000,32000,32000,0,32000,0,0,32000,32000,32000,32000,32000,0,0,0,0,0,0,0,0,0,32000,0,32000,0,0,0,0
"Pasar Andir","Ikan Kembung",0,0,0,35000,35000,35000,0,35000,0,0,35000,35000,35000,35000,35000,0,0,0,0,0,0,0,0,0,35000,0,35000,0,0,0,0
