lokasi,nama_komoditas,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31
"Pasar Andir","Beras Medium",11000,11000,11000,0,0,0,0,0,11000,0,0,0,0,11000,0,0,0,11000,0,0,11000,0,0,0,0,0,0,11000,0,11000,0
"Pasar Andir","Cabe Merah",40000,40000,50000,0,0,0,0,0,50000,0,0,0,0,50000,0,0,0,50000,0,0,50000,0,0,0,0,0,0,40000,0,40000,0
"Pasar Andir","Bawang Merah",20000,20000,20000,0,0,0,0,0,20000,0,0,0,0,20000,0,0,0,20000,0,0,20000,0,0,0,0,0,0,22000,0,22000,0
"Pasar Andir","Daging Ayam Ras",30000,30000,30000,0,0,0,0,0,32000,0,0,0,0,32000,0,0,0,32000,0,0,32000,0,0,0,0,0,0,35000,0,35000,0
"Pasar Andir","Telur Ayam Ras",22000,22000,22000,0,0,0,0,0,22000,0,0,0,0,22000,0,0,0,22000,0,0,22000,0,0,0,0,0,0,22000,0,22000,0
"Pasar Andir","Daging Sapi",120000,120000,120000,0,0,0,0,0,120000,0,0,0,0,120000,0,0,0,120000,0,0,120000,0,0,0,0,0,0,120000,0,120000,0
"Pasar Andir","Minyak Goreng",14500,14500,14500,0,0,0,0,0,14500,0,0,0,0,14500,0,0,0,14500,0,0,14500,0,0,0,0,0,0,14500,0,14500,0
"Pasar Andir","Gula Pasir",12500,12500,12500,0,0,0,0,0,12500,0,0,0,0,12500,0,0,0,12500,0,0,12500,0,0,0,0,0,0,12500,0,12500,0
"Pasar Andir",Kentang,15000,15000,15000,0,0,0,0,0,15000,0,0,0,0,15000,0,0,0,15000,0,0,15000,0,0,0,0,0,0,14000,0,14000,0
"Pasar Andir",Kedelai,11000,11000,11000,0,0,0,0,0,11000,0,0,0,0,11000,0,0,0,11000,0,0,11000,0,0,0,0,0,0,11000,0,11000,0
"Pasar Andir","Tepung Terigu",7500,7500,7500,0,0,0,0,0,7500,0,0,0,0,7500,0,0,0,7500,0,0,7500,0,0,0,0,0,0,7500,0,7500,0
"Pasar Andir","Bawang Putih",30000,30000,30000,0,0,0,0,0,30000,0,0,0,0,30000,0,0,0,7500,0,0,30000,0,0,0,0,0,0,28000,0,28000,0
"Pasar Andir","Cabe Keriting",50000,50000,40000,0,0,0,0,0,40000,0,0,0,0,40000,0,0,0,40000,0,0,40000,0,0,0,0,0,0,45000,0,45000,0
"Pasar Andir","Cabe Rawit",60000,60000,50000,0,0,0,0,0,50000,0,0,0,0,50000,0,0,0,50000,0,0,50000,0,0,0,0,0,0,50000,0,50000,0
"Pasar Andir","Kacang Tanah",22000,22000,22000,0,0,0,0,0,22000,0,0,0,0,22000,0,0,0,22000,0,0,22000,0,0,0,0,0,0,22000,0,22000,0
"Pasar Andir","Ubi Kayu",13000,3000,3000,0,0,0,0,0,3000,0,0,0,0,3000,0,0,0,3000,0,0,3000,0,0,0,0,0,0,3000,0,3000,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,10000,10000,10000,0,0,0,0,0,10000,0,0,0,0,10000,0,0,0,10000,0,0,10000,0,0,0,0,0,0,10000,0,10000,0
"Pasar Andir","Ikan Olahan",70000,70000,70000,0,0,0,0,0,70000,0,0,0,0,70000,0,0,0,70000,0,0,70000,0,0,0,0,0,0,70000,0,70000,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",11500,11500,11500,0,0,0,0,0,11500,0,0,0,0,11500,0,0,0,11500,0,0,11500,0,0,0,0,0,0,11500,0,11500,0
"Pasar Andir","Daging Ayam Kampung",75000,75000,75000,0,0,0,0,0,75000,0,0,0,0,75000,0,0,0,75000,0,0,75000,0,0,0,0,0,0,75000,0,75000,0
"Pasar Andir","Telur Ayam Kampung",45000,45000,45000,0,0,0,0,0,45000,0,0,0,0,45000,0,0,0,45000,0,0,45000,0,0,0,0,0,0,45000,0,45000,0
"Pasar Andir","Susu Kental Manis Merk Bendera",9500,9500,9500,0,0,0,0,0,9500,0,0,0,0,9500,0,0,0,9500,0,0,9500,0,0,0,0,0,0,9500,0,9500,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",9000,9000,9000,0,0,0,0,0,9000,0,0,0,0,9000,0,0,0,9000,0,0,9000,0,0,0,0,0,0,9000,0,9000,0
"Pasar Andir","Garam Beryodium Bata",2000,2000,2000,0,0,0,0,0,2000,0,0,0,0,2000,0,0,0,2000,0,0,2000,0,0,0,0,0,0,2000,0,2000,0
"Pasar Andir","Garam Beryodium Halus",8000,8000,8000,0,0,0,0,0,8000,0,0,0,0,8000,0,0,0,8000,0,0,8000,0,0,0,0,0,0,8000,0,8000,0
"Pasar Andir","Tepung Terigu Cakra Kembar",7500,7500,7500,0,0,0,0,0,7500,0,0,0,0,7500,0,0,0,7500,0,0,7500,0,0,0,0,0,0,7500,0,7500,0
"Pasar Andir","Tepung Terigu Kunci",7000,7000,7000,0,0,0,0,0,7000,0,0,0,0,7000,0,0,0,7000,0,0,7000,0,0,0,0,0,0,7000,0,7000,0
"Pasar Andir","Mie Instan",2000,2000,2000,0,0,0,0,0,2000,0,0,0,0,2000,0,0,0,2000,0,0,2000,0,0,0,0,0,0,2000,0,2000,0
"Pasar Andir","Cabe Rawit Hijau",40000,40000,20000,0,0,0,0,0,40000,0,0,0,0,40000,0,0,0,40000,0,0,40000,0,0,0,0,0,0,32000,0,32000,0
"Pasar Andir","Kacang Hijau",20000,20000,20000,0,0,0,0,0,20000,0,0,0,0,20000,0,0,0,20000,0,0,20000,0,0,0,0,0,0,20000,0,20000,0
"Pasar Andir","Susu Bubuk Dancow",35000,35000,35000,0,0,0,0,0,35000,0,0,0,0,35000,0,0,0,35000,0,0,35000,0,0,0,0,0,0,35000,0,35000,0
"Pasar Andir","Susu Bubuk Indomilk",32000,32000,32000,0,0,0,0,0,32000,0,0,0,0,32000,0,0,0,32000,0,0,32000,0,0,0,0,0,0,32000,0,32000,0
"Pasar Andir","Ikan Kembung",35000,35000,35000,0,0,0,0,0,35000,0,0,0,0,35000,0,0,0,35000,0,0,35000,0,0,0,0,0,0,35000,0,35000,0
